,title,address,city,state,postal_code,price,facts and features,real estate provider,url,bed,bath,sqft,property_type,latlng
0,Condo For Sale,220 Lombard St APT 116,San Francisco,CA,94111,849000.0,"1 bd , 1 ba , 830 sqft",San Francisco R.E. Svcs.,https://www.zillow.com/homedetails/220-Lombard-St-APT-116-San-Francisco-CA-94111/15064048_zpid/,1.0,1.0,830.0,condo,
1,Condo For Sale,101 Lombard St APT 603W,San Francisco,CA,94111,1650000.0,"2 bds , 2 ba , 1,500 sqft",Paragon Real Estate Group,https://www.zillow.com/homedetails/101-Lombard-St-APT-603W-San-Francisco-CA-94111/15064968_zpid/,2.0,2.0,1500.0,condo,
2,Condo For Sale,733 Front St UNIT 312,San Francisco,CA,94111,1195000.0,"1 bd , 1 ba , 1,189 sqft",MaxReal,https://www.zillow.com/homedetails/733-Front-St-UNIT-312-San-Francisco-CA-94111/89239591_zpid/,1.0,1.0,1189.0,condo,
3,Condo For Sale,550 Davis St UNIT 44,San Francisco,CA,94111,1995000.0,"3 bds , 2 ba , 1,520 sqft",Sotheby's International Realty,https://www.zillow.com/homedetails/550-Davis-St-UNIT-44-San-Francisco-CA-94111/15067289_zpid/,3.0,2.0,1520.0,condo,
4,Condo For Sale,240 Lombard St APT 437,San Francisco,CA,94111,625000.0,"1 bd , 1 ba , 566 sqft",SimpleListing.com,https://www.zillow.com/homedetails/240-Lombard-St-APT-437-San-Francisco-CA-94111/15064147_zpid/,1.0,1.0,566.0,condo,
5,Condo For Sale,550 Davis St UNIT 39,San Francisco,CA,94111,1196000.0,"1 bd , 1 ba , 914 sqft",,https://www.zillow.com/homedetails/550-Davis-St-UNIT-39-San-Francisco-CA-94111/15067284_zpid/,1.0,1.0,914.0,condo,
6,House For Sale,578 London St,San Francisco,CA,94112,999000.0,"2 bds , 1 ba , 1,250 sqft",Compass,https://www.zillow.com/homedetails/578-London-St-San-Francisco-CA-94112/15174520_zpid/,2.0,1.0,1250.0,house,"(37.7200728979592, -122.437361061224)"
7,House For Sale,433 Excelsior Ave,San Francisco,CA,94112,899000.0,"3 bds , 1.5 ba , 1,325 sqft",Climb Real Estate,https://www.zillow.com/homedetails/433-Excelsior-Ave-San-Francisco-CA-94112/15169306_zpid/,3.0,1.5,1325.0,house,"(37.7246487346939, -122.430091632653)"
8,House For Sale,57 Niagara Ave,San Francisco,CA,94112,699000.0,"2 bds , 1 ba , 750 sqft",Coldwell Banker,https://www.zillow.com/homedetails/57-Niagara-Ave-San-Francisco-CA-94112/15191339_zpid/,2.0,1.0,750.0,house,"(37.716285, -122.442724)"
9,House For Sale,347 Lisbon St,San Francisco,CA,94112,1599999.0,"6 bds , 6 ba , 3,168 sqft",Intero Real Estate Services,https://www.zillow.com/homedetails/347-Lisbon-St-San-Francisco-CA-94112/15170884_zpid/,6.0,6.0,3168.0,house,"(37.7227734897959, -122.432898959184)"
