title,address,city,state,postal_code,price,facts and features,real estate provider,url
Coming Soon,260 King St UNIT 909,San Francisco,CA,94107,"$850,000","1 bd , 1 ba , 823 sqft",Climb Real Estate,https://www.zillow.com/homedetails/260-King-St-UNIT-909-San-Francisco-CA-94107/69819642_zpid/
House For Sale,616 Carolina St,San Francisco,CA,94107,"$2,249,000","3 bds , 3 ba , 2,328 sqft",Zephyr Real Estate,https://www.zillow.com/homedetails/616-Carolina-St-San-Francisco-CA-94107/15149850_zpid/
House For Sale,865 Rhode Island St,San Francisco,CA,94107,"$3,998,000","4 bds , 5 ba , 3,755 sqft",Compass,https://www.zillow.com/homedetails/865-Rhode-Island-St-San-Francisco-CA-94107/15150458_zpid/
Condo For Sale,829 Folsom St UNIT 414,San Francisco,CA,94107,"$1,095,000","2 bds , 2 ba , 960 sqft",Paragon Real Estate Group,https://www.zillow.com/homedetails/829-Folsom-St-UNIT-414-San-Francisco-CA-94107/2120805344_zpid/
Condo For Sale,504 Wisconsin St,San Francisco,CA,94107,"$1,100,000","2 bds , 2 ba , 1,100 sqft",Climb Real Estate,https://www.zillow.com/homedetails/504-Wisconsin-St-San-Francisco-CA-94107/15149767_zpid/
Condo For Sale,888 7th St # LL-27,San Francisco,CA,94107,"$1,285,000","3 bds , 2 ba , 1,547 sqft",Climb Real Estate,https://www.zillow.com/homedetails/888-7th-St-LL-27-San-Francisco-CA-94107/2090932539_zpid/
Condo For Sale,200 Brannan St APT 437,San Francisco,CA,94107,"$3,595,000","3 bds , 4 ba , 2,903 sqft",Sotheby's International Realty - San Francisco Brokerage,https://www.zillow.com/homedetails/200-Brannan-St-APT-437-San-Francisco-CA-94107/69817645_zpid/
Coming Soon,77 Dow Pl APT 106,San Francisco,CA,94107,"$1,110,000","1 bd , 1.5 ba , 1,256 sqft",Climb Real Estate,https://www.zillow.com/homedetails/77-Dow-Pl-APT-106-San-Francisco-CA-94107/61287356_zpid/
Condo For Sale,88 King St APT 104,San Francisco,CA,94107,"$1,495,000","3 bds , 3 ba , 1,526 sqft",Pacific Union International Inc.,https://www.zillow.com/homedetails/88-King-St-APT-104-San-Francisco-CA-94107/54854634_zpid/
House For Sale,1330 20th St,San Francisco,CA,94107,"$1,995,000","4 bds , 3 ba , 1,625 sqft",Pacific Union International Inc.,https://www.zillow.com/homedetails/1330-20th-St-San-Francisco-CA-94107/15149655_zpid/
Condo For Sale,18 Clyde St,San Francisco,CA,94107,"$879,000","3 bds , 1 ba , 850 sqft",Paragon Real Estate Group,https://www.zillow.com/homedetails/18-Clyde-St-San-Francisco-CA-94107/2136606014_zpid/
Condo For Sale,8 Jennifer Pl,San Francisco,CA,94107,"$839,000","1 bd , 1 ba , 1,284 sqft",Zephyr Real Estate,https://www.zillow.com/homedetails/8-Jennifer-Pl-San-Francisco-CA-94107/80738689_zpid/
Condo For Sale,260 King St UNIT 861,San Francisco,CA,94107,"$599,000","Studio , 1 ba , 618 sqft",Climb Real Estate,https://www.zillow.com/homedetails/260-King-St-UNIT-861-San-Francisco-CA-94107/69819794_zpid/
Apartment For Sale,2080 3rd St APT 5,San Francisco,CA,94107,"$799,000","1 bd , 1.5 ba , 1,001 sqft",Climb Real Estate,https://www.zillow.com/homedetails/2080-3rd-St-APT-5-San-Francisco-CA-94107/80746845_zpid/
Condo For Sale,801 Indiana St UNIT 160,San Francisco,CA,94107,"$1,345,000","2 bds , 2 ba , 1,243 sqft",Vanguard Properties,https://www.zillow.com/homedetails/801-Indiana-St-UNIT-160-San-Francisco-CA-94107/111932882_zpid/
Lot/Land For Sale,1058 Mississippi St,San Francisco,CA,94107,"$695,000","2,495 sqft lot",,https://www.zillow.com/homedetails/1058-Mississippi-St-San-Francisco-CA-94107/125272484_zpid/
Apartment For Sale,923-925 Vermont St,SAN FRANCISCO,CA,94107,"$2,195,000","Studio , -- ba , 2,470 sqft",Coldwell Banker Residential Brokerage - San Francisco Pacific Heights,https://www.zillow.com/homedetails/923-925-Vermont-St-San-Francisco-CA-94107/15150327_zpid/
