title,address,city,state,postal_code,price,facts and features,real estate provider,url
Condo For Sale,267 271 Hermann St # 267,San Francisco,CA,94117,"$899,000","2 bds , 1 ba , -- sqft",Vanguard Properties,https://www.zillow.com/homedetails/267-271-Hermann-St-267-San-Francisco-CA-94117/2090856900_zpid/
Coming Soon,1315 Cole St,San Francisco,CA,94117,"$1,850,000","3 bds , 1 ba , 1,900 sqft",,https://www.zillow.com/homedetails/1315-Cole-St-San-Francisco-CA-94117/82785673_zpid/
For Sale by Owner,1214 Masonic Ave,San Francisco,CA,94117,"$2,895,000","5 bds , 4 ba , 2,898 sqft",,https://www.zillow.com/homedetails/1214-Masonic-Ave-San-Francisco-CA-94117/15086909_zpid/
Condo For Sale,574 Waller St,San Francisco,CA,94117,"$1,095,000","2 bds , 1 ba , 1,117 sqft",Vanguard Properties,https://www.zillow.com/homedetails/574-Waller-St-San-Francisco-CA-94117/15079194_zpid/
Condo For Sale,624 628 Broderick St # 624 A,San Francisco,CA,94117,"$649,000","1 bd , 1 ba , -- sqft",Core7 Real Estate,https://www.zillow.com/homedetails/624-628-Broderick-St-624-A-San-Francisco-CA-94117/2090947513_zpid/
Condo For Sale,1651 Page St,San Francisco,CA,94117,"$1,995,000","3 bds , 2 ba , 1,692 sqft",,https://www.zillow.com/homedetails/1651-Page-St-San-Francisco-CA-94117/119685576_zpid/
Apartment For Sale,619-621 Baker St,SAN FRANCISCO,CA,94117,"$1,995,000","Studio , -- ba , 1,550 sqft",Paragon Real Estate Group,https://www.zillow.com/homedetails/619-621-Baker-St-San-Francisco-CA-94117/15085504_zpid/
Apartment For Sale,400 Fillmore St,San Francisco,CA,94117,"$5,350,000","Studio , -- ba , 7,790 sqft",Colliers International,https://www.zillow.com/homedetails/400-Fillmore-St-San-Francisco-CA-94117/2091132823_zpid/
Apartment For Sale,1736 Fell St,San Francisco,CA,94117,"$4,599,000","Studio , -- ba , 6,825 sqft",CENTURY 21 Real Estate Alliance,https://www.zillow.com/homedetails/1736-Fell-St-San-Francisco-CA-94117/2091168962_zpid/
Apartment For Sale,1736-1738 Fell St,SAN FRANCISCO,CA,94117,"$4,599,000","7 bds , 5 ba , 6,825 sqft",CENTURY 21 Real Estate Alliance,https://www.zillow.com/homedetails/1736-1738-Fell-St-San-Francisco-CA-94117/15086203_zpid/
Apartment For Sale,517 519 Lyon St,San Francisco,CA,94117,"$2,195,000","Studio , -- ba , 2,720 sqft",Colliers International,https://www.zillow.com/homedetails/517-519-Lyon-St-San-Francisco-CA-94117/2091507463_zpid/
Apartment For Sale,680 Haight St,San Francisco,CA,94117,"$2,995,000","Studio , -- ba , 5,200 sqft",Colliers International,https://www.zillow.com/homedetails/680-Haight-St-San-Francisco-CA-94117/67447645_zpid/
Apartment For Sale,1062 Fulton St,San Francisco,CA,94117,"$3,199,000","Studio , -- ba , 4,470 sqft",Zephyr Real Estate,https://www.zillow.com/homedetails/1062-Fulton-St-San-Francisco-CA-94117/2091641359_zpid/
House For Sale,540 Fillmore St,San Francisco,CA,94117,"$3,395,000","3 bds , 3.5 ba , 3,865 sqft",Sotheby's International Realty,https://www.zillow.com/homedetails/540-Fillmore-St-San-Francisco-CA-94117/15078628_zpid/
