title,address,city,state,postal_code,price,facts and features,real estate provider,url
House For Sale,1843 Pine St,San Francisco,CA,94109,"$5,350,000","7 bds , 6.5 ba , 5,203 sqft",Hill & Co.,https://www.zillow.com/homedetails/1843-Pine-St-San-Francisco-CA-94109/15075489_zpid/
House For Sale,807 Francisco St,San Francisco,CA,94109,"$16,900,000","6 bds , 6.5 ba , 6,180 sqft",Compass,https://www.zillow.com/homedetails/807-Francisco-St-San-Francisco-CA-94109/15063607_zpid/
Condo For Sale,1310 1314 Greenwich St # 401,San Francisco,CA,94109,"$2,750,000","2 bds , 2 ba , 1,912 sqft",Sotheby's International Realty,https://www.zillow.com/homedetails/1310-1314-Greenwich-St-401-San-Francisco-CA-94109/2090793708_zpid/
New Construction,1545 Pine St # U4I7Q,San Francisco,CA,94109,"$727,500+","-- bds , 1 ba , 432+ sqft",,https://www.zillow.com/community/austin/2092523855_zpid/
Condo For Sale,66 Cleary Ct APT 1506,San Francisco,CA,94109,"$1,050,000","3 bds , 2 ba , 1,099 sqft",Paragon Real Estate Group,https://www.zillow.com/homedetails/66-Cleary-Ct-APT-1506-San-Francisco-CA-94109/15076986_zpid/
New Construction,1545 Pine St # KBU33O,San Francisco,CA,94109,"$842,000+","1 bd , 1 ba , 630+ sqft",,https://www.zillow.com/community/austin/2092523854_zpid/
Condo For Sale,1145 Green St APT 3,San Francisco,CA,94109,"$849,900","1 bd , 1 ba , -- sqft",Pacific Union International Inc.,https://www.zillow.com/homedetails/1145-Green-St-APT-3-San-Francisco-CA-94109/122246217_zpid/
House For Sale,930 Chestnut St,San Francisco,CA,94109,"$6,850,000","4 bds , 3.5 ba , -- sqft",Compass,https://www.zillow.com/homedetails/930-Chestnut-St-San-Francisco-CA-94109/15063600_zpid/
House For Sale,3011 Van Ness Ave,San Francisco,CA,94109,"$2,298,000","2 bds , 2 ba , 2,300 sqft",,https://www.zillow.com/homedetails/3011-Van-Ness-Ave-San-Francisco-CA-94109/61288289_zpid/
Condo For Sale,818 Van Ness Ave APT 806,San Francisco,CA,94109,"$1,495,000","2 bds , 2 ba , 1,308 sqft",Paragon Real Estate Group,https://www.zillow.com/homedetails/818-Van-Ness-Ave-APT-806-San-Francisco-CA-94109/111710764_zpid/
New Construction,1545 Pine St Residence # 307,San Francisco,CA,94109,"$723,500","1 bd , 1 ba , 626 sqft",,https://www.zillow.com/homedetails/1545-Pine-St-Residence-307-San-Francisco-CA-94109/2090827572_zpid/
New Construction,1545 Pine St Residence # 807,San Francisco,CA,94109,"$1,499,500","2 bds , 1 ba , 1,132 sqft",,https://www.zillow.com/homedetails/1545-Pine-St-Residence-807-San-Francisco-CA-94109/2091497005_zpid/
New Construction,1545 Pine St Residence # 02,San Francisco,CA,94109,"$660,000","-- bds , 1 ba , 422 sqft",,https://www.zillow.com/homedetails/1545-Pine-St-Residence-02-San-Francisco-CA-94109/2091450739_zpid/
New Construction,1545 Pine St Residence # 902,San Francisco,CA,94109,"$1,049,500","1 bd , 1 ba , 742 sqft",,https://www.zillow.com/homedetails/1545-Pine-St-Residence-902-San-Francisco-CA-94109/2092523859_zpid/
Co-op For Sale,1333 Jones St APT 506,San Francisco,CA,94109,"$1,649,000","2 bds , 2 ba , 1,838 sqft",Pacific Union International Inc.,https://www.zillow.com/homedetails/1333-Jones-St-APT-506-San-Francisco-CA-94109/63196168_zpid/
Condo For Sale,1 Daniel Burnham Ct APT 1404,San Francisco,CA,94109,"$1,149,000","2 bds , 2 ba , 1,009 sqft",Coldwell Banker Residential Brokerage - San Francisco Pacific Heights,https://www.zillow.com/homedetails/1-Daniel-Burnham-Ct-APT-1404-San-Francisco-CA-94109/15076711_zpid/
Condo For Sale,1700 Jones St APT 4,San Francisco,CA,94109,"$1,895,000","2 bds , 2 ba , 1,284 sqft","Alain Pinel, REALTORS®",https://www.zillow.com/homedetails/1700-Jones-St-APT-4-San-Francisco-CA-94109/15066783_zpid/
Apartment For Sale,(Undisclosed Address),San Francisco,CA,94109,"$1,880,000","Studio , -- ba , 6,075 sqft",Marcus & Millichap,https://www.zillow.com/homedetails/(Undisclosed-Address)-San-Francisco-CA-94109/2090888558_zpid/
Condo For Sale,1998 Broadway APT 1206,San Francisco,CA,94109,"$1,595,000","2 bds , 2 ba , 1,170 sqft",GPK Luxury Real Estate,https://www.zillow.com/homedetails/1998-Broadway-APT-1206-San-Francisco-CA-94109/15072776_zpid/
Apartment For Sale,1520 Leavenworth St,San Francisco,CA,94109,"$2,400,000","Studio , -- ba , 4,540 sqft",Colliers International,https://www.zillow.com/homedetails/1520-Leavenworth-St-San-Francisco-CA-94109/2094932855_zpid/
Condo For Sale,795 Sutter St # 303,San Francisco,CA,94109,"$1,995,000","3 bds , 2 ba , 1,820 sqft",Sotheby's International Realty,https://www.zillow.com/homedetails/795-Sutter-St-303-San-Francisco-CA-94109/15069276_zpid/
Apartment For Sale,1510-1512 Pacific Ave,SAN FRANCISCO,CA,94109,"$3,950,000","Studio , -- ba , 2,850 sqft",Pacific Union International Inc.,https://www.zillow.com/homedetails/1510-1512-Pacific-Ave-San-Francisco-CA-94109/15072900_zpid/
Condo For Sale,757 N Point St APT 8,San Francisco,CA,94109,"$1,475,000","2 bds , 3 ba , 1,270 sqft",,https://www.zillow.com/homedetails/757-N-Point-St-APT-8-San-Francisco-CA-94109/15063377_zpid/
Condo For Sale,1080 Chestnut St APT 11D,San Francisco,CA,94109,"$5,500,000","3 bds , 3.5 ba , 2,330 sqft",Sotheby's International Realty,https://www.zillow.com/homedetails/1080-Chestnut-St-APT-11D-San-Francisco-CA-94109/80745287_zpid/
