sqft,gross_taxes_2017,area,sub_area,primary_broker,listing_id,property_type,age,school_info,price,address,type,link,features,strata_maintenance_fees,bath,strata_type,bed,amenities
630,914,Vancouver East,Mount Pleasant East,RE/MAX Select Realty,R2230676,Apt/Condo,Built in 1977 (41 yrs old),"[{'distance': '0.5 km', 'address': '2300 Guelph St, Vancouver', 'grades': 'Pre-K, K - 7', 'name': 'Mount Pleasant School', 'latitude': 49.2640399, 'longitude': -123.0940422, 'category': 'Public'}, {'distance': '2.6 km', 'address': '2600 Broadway E, Vancouver', 'grades': '8 - 12', 'name': 'Vancouver Technical Secondary School', 'latitude': 49.2614045, 'longitude': -123.0516839, 'category': 'Public'}, {'distance': '0.7 km', 'address': '428 Great Northern Way, Vancouver', 'grades': 'K - 7', 'name': 'St Francis Xavier School', 'latitude': 49.267931, 'longitude': -123.0947323, 'category': 'Independent'}, {'distance': '1.2 km', 'address': '115 11th Ave E, Vancouver', 'grades': '8 - 12', 'name': 'St Patrick Regional Secondary School', 'latitude': 49.2611369, 'longitude': -123.1028471, 'category': 'Independent'}, {'distance': '1.3 km', 'address': '2850 Quebec St, Vancouver', 'grades': 'K - 7', 'name': ""St Patrick's Elementary School"", 'latitude': 49.2597724, 'longitude': -123.1029196, 'category': 'Independent'}, {'distance': '1.5 km', 'address': '1850 3rd Ave E, Vancouver', 'grades': 'K - 5', 'name': 'Queen Victoria Annex', 'latitude': 49.2674386, 'longitude': -123.066805, 'category': 'Public'}, {'distance': '1.5 km', 'address': '3261 Fleming St, Vancouver', 'grades': 'K - 7', 'name': ""St Joseph's School"", 'latitude': 49.2559144, 'longitude': -123.071647, 'category': 'Independent'}, {'distance': '1.5 km', 'address': '3000 Commercial Dr, Vancouver', 'grades': 'K - 12', 'name': 'Stratford Hall School', 'latitude': 49.2574791, 'longitude': -123.0694838, 'category': 'Independent'}, {'distance': '1.6 km', 'address': '3525 Dumphries St, Vancouver', 'grades': 'K - 7', 'name': 'Tyee Elementary School', 'latitude': 49.2534128, 'longitude': -123.0740133, 'category': 'Public'}, {'distance': '1.9 km', 'address': '395 Broadway W, Vancouver', 'grades': '10 - 12', 'name': ""St John's International School"", 'latitude': 49.2633508, 'longitude': -123.1125357, 'category': 'Independent'}]",479900,204-2234 Prince Albert Street,Apt/Condo,https://www.rew.ca/properties/R2230676/204-2234-prince-albert-street-vancouver-bc,"Refrigerator, Stove",312,1,Freehold Strata,1,"Elevator, Shared Laundry"
1904,3991,Vancouver East,Hastings,Sutton Group West Coast Realty,R2231248,House,Built in 1910 (108 yrs old),"[{'distance': '0.3 km', 'address': '1950 Hastings St E, Vancouver', 'grades': 'Pre-K, K - 7', 'name': 'Sir William Macdonald School', 'latitude': 49.2811281, 'longitude': -123.0647357, 'category': 'Public'}, {'distance': '0.7 km', 'address': '870 Victoria Dr, Vancouver', 'grades': 'K - 7', 'name': 'St Francis of Assisi School', 'latitude': 49.2767807, 'longitude': -123.0653002, 'category': 'Independent'}, {'distance': '0.9 km', 'address': '2450 Cambridge St, Vancouver', 'grades': 'Pre-K, K - 4', 'name': 'Tillicum School', 'latitude': 49.28625, 'longitude': -123.0554243, 'category': 'Public'}, {'distance': '1.3 km', 'address': '575 Slocan St, Vancouver', 'grades': 'K - 7', 'name': 'Our Lady of Sorrows School', 'latitude': 49.2793197, 'longitude': -123.0498604, 'category': 'Independent'}, {'distance': '1.5 km', 'address': '1025 Slocan St, Vancouver', 'grades': 'K - 4', 'name': 'Garibaldi Annex', 'latitude': 49.2753899, 'longitude': -123.0500498, 'category': 'Public'}, {'distance': '1.7 km', 'address': '15 Renfrew St N, Vancouver', 'grades': 'K - 12', 'name': 'West Coast Christian School', 'latitude': 49.2849954, 'longitude': -123.0445218, 'category': 'Independent'}, {'distance': '1.8 km', 'address': '1850 3rd Ave E, Vancouver', 'grades': 'K - 5', 'name': 'Queen Victoria Annex', 'latitude': 49.2674386, 'longitude': -123.066805, 'category': 'Public'}, {'distance': '1.8 km', 'address': '2880 Venables St, Vancouver', 'grades': '8 - 12', 'name': 'Notre Dame Regional Secondary School', 'latitude': 49.2766213, 'longitude': -123.0451031, 'category': 'Independent'}, {'distance': '2.6 km', 'address': '428 Great Northern Way, Vancouver', 'grades': 'K - 7', 'name': 'St Francis Xavier School', 'latitude': 49.267931, 'longitude': -123.0947323, 'category': 'Independent'}, {'distance': '2.9 km', 'address': '3000 Commercial Dr, Vancouver', 'grades': 'K - 12', 'name': 'Stratford Hall School', 'latitude': 49.2574791, 'longitude': -123.0694838, 'category': 'Independent'}]",1098800,1827 Pandora Street,House,https://www.rew.ca/properties/R2231248/1827-pandora-street-vancouver-bc,"Refrigerator, Storage Shed, Stove",,2,Freehold NonStrata,4,
841,1438,Vancouver East,Renfrew,RE/MAX Crest Realty,R2230613,Apt/Condo,Built in 2013 (5 yrs old),"[{'distance': '0.4 km', 'address': '2684 2nd Ave E, Vancouver', 'grades': 'Pre-K, K - 7', 'name': 'Chief Maquinna School', 'latitude': 49.268031, 'longitude': -123.0507999, 'category': 'Public'}, {'distance': '0.9 km', 'address': '2600 Broadway E, Vancouver', 'grades': '8 - 12', 'name': 'Vancouver Technical Secondary School', 'latitude': 49.2614045, 'longitude': -123.0516839, 'category': 'Public'}, {'distance': '0.9 km', 'address': '1025 Slocan St, Vancouver', 'grades': 'K - 4', 'name': 'Garibaldi Annex', 'latitude': 49.2753899, 'longitude': -123.0500498, 'category': 'Public'}, {'distance': '0.9 km', 'address': '2880 Venables St, Vancouver', 'grades': '8 - 12', 'name': 'Notre Dame Regional Secondary School', 'latitude': 49.2766213, 'longitude': -123.0451031, 'category': 'Independent'}, {'distance': '1.2 km', 'address': '202-2830 Grandview Hwy, Vancouver', 'grades': '2 - 12', 'name': 'Avante School', 'latitude': 49.2578878, 'longitude': -123.0463594, 'category': 'Independent'}, {'distance': '1.3 km', 'address': '575 Slocan St, Vancouver', 'grades': 'K - 7', 'name': 'Our Lady of Sorrows School', 'latitude': 49.2793197, 'longitude': -123.0498604, 'category': 'Independent'}, {'distance': '1.3 km', 'address': '3075 Slocan St, Vancouver', 'grades': 'K - 7', 'name': 'Westside Montessori Academy', 'latitude': 49.257032, 'longitude': -123.05013, 'category': 'Independent'}, {'distance': '1.3 km', 'address': '2953 15th Ave E, Vancouver', 'grades': 'K - 7', 'name': ""St Jude's School"", 'latitude': 49.2565458, 'longitude': -123.0426267, 'category': 'Independent'}, {'distance': '1.6 km', 'address': '1850 3rd Ave E, Vancouver', 'grades': 'K - 5', 'name': 'Queen Victoria Annex', 'latitude': 49.2674386, 'longitude': -123.066805, 'category': 'Public'}, {'distance': '1.8 km', 'address': '870 Victoria Dr, Vancouver', 'grades': 'K - 7', 'name': 'St Francis of Assisi School', 'latitude': 49.2767807, 'longitude': -123.0653002, 'category': 'Independent'}]",699000,2-2888 E 2nd Avenue,Apt/Condo,https://www.rew.ca/properties/R2230613/2-2888-e-2nd-avenue-vancouver-bc,ClthWsh/Dryr/Frdg/Stve/DW,262,2,Freehold Strata,2,"Elevator, In Suite Laundry"
3344,5016,Vancouver East,Fraserview East,RE/MAX Crest Realty,R2230712,House,Built in 2011 (7 yrs old),"[{'distance': '0.8 km', 'address': '2421 Scarboro Ave, Vancouver', 'grades': 'K - 7', 'name': 'David Oppenheimer Elementary School', 'latitude': 49.213644, 'longitude': -123.0579581, 'category': 'Public'}, {'distance': '1.9 km', 'address': '1755 55th Ave E, Vancouver', 'grades': '8 - 12', 'name': 'David Thompson Secondary School', 'latitude': 49.2211722, 'longitude': -123.0705698, 'category': 'Public'}, {'distance': '1.5 km', 'address': '7051 Killarney St, Vancouver', 'grades': 'Pre-K, K - 6', 'name': 'École Anne Hebert Elementary', 'latitude': 49.2189188, 'longitude': -123.0461977, 'category': 'Public'}, {'distance': '1.6 km', 'address': '7028 Victoria Dr, Vancouver', 'grades': 'K - 3', 'name': 'Qawsain Knowledge House', 'latitude': 49.219923, 'longitude': -123.0656329, 'category': 'Independent'}, {'distance': '2.3 km', 'address': '6344 Nanaimo St, Vancouver', 'grades': 'K - 7', 'name': 'Corpus Christi School', 'latitude': 49.227045, 'longitude': -123.0590751, 'category': 'Independent'}, {'distance': '3.1 km', 'address': '5621 Killarney St, Vancouver', 'grades': '7 - 12', 'name': 'Vancouver Formosa Academy', 'latitude': 49.2337931, 'longitude': -123.0463604, 'category': 'Independent'}, {'distance': '3.1 km', 'address': '190-13151 Vanier Pl, Richmond', 'grades': '9', 'name': 'Glen Eden School', 'latitude': 49.1831336, 'longitude': -123.0788974, 'category': 'Independent'}, {'distance': '3.5 km', 'address': '5987 Prince Albert St, Vancouver', 'grades': 'K - 7', 'name': ""L'Ecole Bilingue Elementary"", 'latitude': 49.2297856, 'longitude': -123.0878759, 'category': 'Public'}, {'distance': '3.7 km', 'address': '3417 Euclid Ave, Vancouver', 'grades': 'Pre-K, K - 3', 'name': 'Collingwood Neighbourhood School', 'latitude': 49.2361809, 'longitude': -123.0325329, 'category': 'Public'}, {'distance': '3.7 km', 'address': '450 47th Ave E, Vancouver', 'grades': 'K - 7', 'name': ""St Andrew's School"", 'latitude': 49.2272136, 'longitude': -123.0958559, 'category': 'Independent'}]",1988800,2526 SE Marine Drive,House,https://www.rew.ca/properties/R2230712/2526-se-marine-drive-vancouver-bc,"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW, Compactor - Garbage, Drapes/Window Coverings, Microwave, Security System",0,6,Freehold NonStrata,6,
1210,4217,Vancouver East,Hastings East,Multiple Realty Ltd.,R2195938,House,Built in 1936 (82 yrs old),"[{'distance': '0.8 km', 'address': '250S Skeena St, Vancouver', 'grades': 'K - 7', 'name': 'Sir John Franklin Community School', 'latitude': 49.2825439, 'longitude': -123.0270231, 'category': 'Public'}, {'distance': '2.8 km', 'address': '727 Templeton Dr, Vancouver', 'grades': '8 - 12', 'name': 'Templeton Secondary School', 'latitude': 49.2773653, 'longitude': -123.0598422, 'category': 'Public'}, {'distance': '0.8 km', 'address': '3894 Triumph St, Burnaby', 'grades': 'K - 7', 'name': ""St Helen's School"", 'latitude': 49.2838246, 'longitude': -123.0189077, 'category': 'Independent'}, {'distance': '1.4 km', 'address': '15 Renfrew St N, Vancouver', 'grades': 'K - 12', 'name': 'West Coast Christian School', 'latitude': 49.2849954, 'longitude': -123.0445218, 'category': 'Independent'}, {'distance': '2.0 km', 'address': '2880 Venables St, Vancouver', 'grades': '8 - 12', 'name': 'Notre Dame Regional Secondary School', 'latitude': 49.2766213, 'longitude': -123.0451031, 'category': 'Independent'}, {'distance': '2.0 km', 'address': '575 Slocan St, Vancouver', 'grades': 'K - 7', 'name': 'Our Lady of Sorrows School', 'latitude': 49.2793197, 'longitude': -123.0498604, 'category': 'Independent'}, {'distance': '2.1 km', 'address': '2450 Cambridge St, Vancouver', 'grades': 'Pre-K, K - 4', 'name': 'Tillicum School', 'latitude': 49.28625, 'longitude': -123.0554243, 'category': 'Public'}, {'distance': '2.3 km', 'address': '420 Seymour River Pl, North Vancouver', 'grades': 'K - 12', 'name': 'Kenneth Gordon School', 'latitude': 49.3091584, 'longitude': -123.0168595, 'category': 'Independent'}, {'distance': '2.3 km', 'address': '1025 Slocan St, Vancouver', 'grades': 'K - 4', 'name': 'Garibaldi Annex', 'latitude': 49.2753899, 'longitude': -123.0500498, 'category': 'Public'}, {'distance': '2.8 km', 'address': '1325 Keith Rd E, North Vancouver', 'grades': 'K', 'name': 'North Star Montessori Elementary School', 'latitude': 49.3132826, 'longitude': -123.0381669, 'category': 'Independent'}]",1575000,3586 Trinity Street,House,https://www.rew.ca/properties/R2195938/3586-trinity-street-vancouver-bc,,,1,Freehold NonStrata,1,
1940,4313,Vancouver East,Hastings East,Coldwell Banker Prestige Rlty,R2218168,House,Built in 1927 (91 yrs old),,1249000,3536 William Street,House,https://www.rew.ca/properties/R2218168/3536-william-street-vancouver-bc,,,2,Freehold NonStrata,4,
2336,5856,Vancouver East,Hastings East,Sutton Group West Coast Realty,R2187075,House,Built in 1963 (55 yrs old),"[{'distance': '0.5 km', 'address': '2625 Franklin St, Vancouver', 'grades': 'K - 7', 'name': 'Hastings Community Elementary School', 'latitude': 49.2822084, 'longitude': -123.0514144, 'category': 'Public'}, {'distance': '1.3 km', 'address': '727 Templeton Dr, Vancouver', 'grades': '8 - 12', 'name': 'Templeton Secondary School', 'latitude': 49.2773653, 'longitude': -123.0598422, 'category': 'Public'}, {'distance': '0.3 km', 'address': '15 Renfrew St N, Vancouver', 'grades': 'K - 12', 'name': 'West Coast Christian School', 'latitude': 49.2849954, 'longitude': -123.0445218, 'category': 'Independent'}, {'distance': '0.5 km', 'address': '2450 Cambridge St, Vancouver', 'grades': 'Pre-K, K - 4', 'name': 'Tillicum School', 'latitude': 49.28625, 'longitude': -123.0554243, 'category': 'Public'}, {'distance': '0.7 km', 'address': '575 Slocan St, Vancouver', 'grades': 'K - 7', 'name': 'Our Lady of Sorrows School', 'latitude': 49.2793197, 'longitude': -123.0498604, 'category': 'Independent'}, {'distance': '1.1 km', 'address': '2880 Venables St, Vancouver', 'grades': '8 - 12', 'name': 'Notre Dame Regional Secondary School', 'latitude': 49.2766213, 'longitude': -123.0451031, 'category': 'Independent'}, {'distance': '1.2 km', 'address': '1025 Slocan St, Vancouver', 'grades': 'K - 4', 'name': 'Garibaldi Annex', 'latitude': 49.2753899, 'longitude': -123.0500498, 'category': 'Public'}, {'distance': '1.6 km', 'address': '870 Victoria Dr, Vancouver', 'grades': 'K - 7', 'name': 'St Francis of Assisi School', 'latitude': 49.2767807, 'longitude': -123.0653002, 'category': 'Independent'}, {'distance': '2.2 km', 'address': '3894 Triumph St, Burnaby', 'grades': 'K - 7', 'name': ""St Helen's School"", 'latitude': 49.2838246, 'longitude': -123.0189077, 'category': 'Independent'}, {'distance': '2.4 km', 'address': '1850 3rd Ave E, Vancouver', 'grades': 'K - 5', 'name': 'Queen Victoria Annex', 'latitude': 49.2674386, 'longitude': -123.066805, 'category': 'Public'}]",2688000,2735 Oxford Street,House,https://www.rew.ca/properties/R2187075/2735-oxford-street-vancouver-bc,"Clothes Washer/Dryer, ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings, Security System, Smoke Alarm, Windows - Thermo",,2,Freehold NonStrata,6,Storage
2107,4504,Vancouver East,Hastings East,Sutton Centre Realty,R2194211,House,Built in 1925 (93 yrs old),"[{'distance': '0.3 km', 'address': '2625 Franklin St, Vancouver', 'grades': 'K - 7', 'name': 'Hastings Community Elementary School', 'latitude': 49.2822084, 'longitude': -123.0514144, 'category': 'Public'}, {'distance': '0.9 km', 'address': '727 Templeton Dr, Vancouver', 'grades': '8 - 12', 'name': 'Templeton Secondary School', 'latitude': 49.2773653, 'longitude': -123.0598422, 'category': 'Public'}, {'distance': '0.2 km', 'address': '2450 Cambridge St, Vancouver', 'grades': 'Pre-K, K - 4', 'name': 'Tillicum School', 'latitude': 49.28625, 'longitude': -123.0554243, 'category': 'Public'}, {'distance': '0.6 km', 'address': '15 Renfrew St N, Vancouver', 'grades': 'K - 12', 'name': 'West Coast Christian School', 'latitude': 49.2849954, 'longitude': -123.0445218, 'category': 'Independent'}, {'distance': '0.6 km', 'address': '575 Slocan St, Vancouver', 'grades': 'K - 7', 'name': 'Our Lady of Sorrows School', 'latitude': 49.2793197, 'longitude': -123.0498604, 'category': 'Independent'}, {'distance': '1.1 km', 'address': '1025 Slocan St, Vancouver', 'grades': 'K - 4', 'name': 'Garibaldi Annex', 'latitude': 49.2753899, 'longitude': -123.0500498, 'category': 'Public'}, {'distance': '1.1 km', 'address': '2880 Venables St, Vancouver', 'grades': '8 - 12', 'name': 'Notre Dame Regional Secondary School', 'latitude': 49.2766213, 'longitude': -123.0451031, 'category': 'Independent'}, {'distance': '1.2 km', 'address': '870 Victoria Dr, Vancouver', 'grades': 'K - 7', 'name': 'St Francis of Assisi School', 'latitude': 49.2767807, 'longitude': -123.0653002, 'category': 'Independent'}, {'distance': '2.2 km', 'address': '1850 3rd Ave E, Vancouver', 'grades': 'K - 5', 'name': 'Queen Victoria Annex', 'latitude': 49.2674386, 'longitude': -123.066805, 'category': 'Public'}, {'distance': '2.5 km', 'address': '3894 Triumph St, Burnaby', 'grades': 'K - 7', 'name': ""St Helen's School"", 'latitude': 49.2838246, 'longitude': -123.0189077, 'category': 'Independent'}]",1499000,2560 Dundas Street,House,https://www.rew.ca/properties/R2194211/2560-dundas-street-vancouver-bc,,,2,Freehold NonStrata,3,Recreation Center
1822,,Vancouver East,Hastings East,RE/MAX Central,R2213998,House,Built in 1922 (96 yrs old),"[{'distance': '0.7 km', 'address': '2625 Franklin St, Vancouver', 'grades': 'K - 7', 'name': 'Hastings Community Elementary School', 'latitude': 49.2822084, 'longitude': -123.0514144, 'category': 'Public'}, {'distance': '1.5 km', 'address': '727 Templeton Dr, Vancouver', 'grades': '8 - 12', 'name': 'Templeton Secondary School', 'latitude': 49.2773653, 'longitude': -123.0598422, 'category': 'Public'}, {'distance': '0.2 km', 'address': '15 Renfrew St N, Vancouver', 'grades': 'K - 12', 'name': 'West Coast Christian School', 'latitude': 49.2849954, 'longitude': -123.0445218, 'category': 'Independent'}, {'distance': '0.8 km', 'address': '2450 Cambridge St, Vancouver', 'grades': 'Pre-K, K - 4', 'name': 'Tillicum School', 'latitude': 49.28625, 'longitude': -123.0554243, 'category': 'Public'}, {'distance': '0.9 km', 'address': '575 Slocan St, Vancouver', 'grades': 'K - 7', 'name': 'Our Lady of Sorrows School', 'latitude': 49.2793197, 'longitude': -123.0498604, 'category': 'Independent'}, {'distance': '1.1 km', 'address': '2880 Venables St, Vancouver', 'grades': '8 - 12', 'name': 'Notre Dame Regional Secondary School', 'latitude': 49.2766213, 'longitude': -123.0451031, 'category': 'Independent'}, {'distance': '1.3 km', 'address': '1025 Slocan St, Vancouver', 'grades': 'K - 4', 'name': 'Garibaldi Annex', 'latitude': 49.2753899, 'longitude': -123.0500498, 'category': 'Public'}, {'distance': '1.9 km', 'address': '870 Victoria Dr, Vancouver', 'grades': 'K - 7', 'name': 'St Francis of Assisi School', 'latitude': 49.2767807, 'longitude': -123.0653002, 'category': 'Independent'}, {'distance': '1.9 km', 'address': '3894 Triumph St, Burnaby', 'grades': 'K - 7', 'name': ""St Helen's School"", 'latitude': 49.2838246, 'longitude': -123.0189077, 'category': 'Independent'}, {'distance': '2.7 km', 'address': '1850 3rd Ave E, Vancouver', 'grades': 'K - 5', 'name': 'Queen Victoria Annex', 'latitude': 49.2674386, 'longitude': -123.066805, 'category': 'Public'}]",1399000,2867 Cambridge Street,House,https://www.rew.ca/properties/R2213998/2867-cambridge-street-vancouver-bc,,,1,Freehold NonStrata,3,
1321,2103,Vancouver East,Fraser East,RE/MAX City Realty,R2220844,Townhouse,Built in 2017 (1 yrs old),"[{'distance': '0.3 km', 'address': '3877 Glen Dr, Vancouver', 'grades': 'K - 3', 'name': 'Charles Dickens Annex', 'latitude': 49.25021, 'longitude': -123.0828519, 'category': 'Public'}, {'distance': '0.3 km', 'address': '1010 East 17th Ave, Vancouver', 'grades': 'K - 7', 'name': 'Charles Dickens Elementary School', 'latitude': 49.255005, 'longitude': -123.08331, 'category': 'Public'}, {'distance': '0.9 km', 'address': '419 24th Ave E, Vancouver', 'grades': '8 - 12', 'name': 'Sir Charles Tupper Secondary School', 'latitude': 49.2492786, 'longitude': -123.0942099, 'category': 'Public'}, {'distance': '0.7 km', 'address': '3525 Dumphries St, Vancouver', 'grades': 'K - 7', 'name': 'Tyee Elementary School', 'latitude': 49.2534128, 'longitude': -123.0740133, 'category': 'Public'}, {'distance': '0.9 km', 'address': '3261 Fleming St, Vancouver', 'grades': 'K - 7', 'name': ""St Joseph's School"", 'latitude': 49.2559144, 'longitude': -123.071647, 'category': 'Independent'}, {'distance': '1.1 km', 'address': '3000 Commercial Dr, Vancouver', 'grades': 'K - 12', 'name': 'Stratford Hall School', 'latitude': 49.2574791, 'longitude': -123.0694838, 'category': 'Independent'}, {'distance': '1.6 km', 'address': '2850 Quebec St, Vancouver', 'grades': 'K - 7', 'name': ""St Patrick's Elementary School"", 'latitude': 49.2597724, 'longitude': -123.1029196, 'category': 'Independent'}, {'distance': '1.7 km', 'address': '115 11th Ave E, Vancouver', 'grades': '8 - 12', 'name': 'St Patrick Regional Secondary School', 'latitude': 49.2611369, 'longitude': -123.1028471, 'category': 'Independent'}, {'distance': '1.9 km', 'address': '428 Great Northern Way, Vancouver', 'grades': 'K - 7', 'name': 'St Francis Xavier School', 'latitude': 49.267931, 'longitude': -123.0947323, 'category': 'Independent'}, {'distance': '2.0 km', 'address': '1850 3rd Ave E, Vancouver', 'grades': 'K - 5', 'name': 'Queen Victoria Annex', 'latitude': 49.2674386, 'longitude': -123.066805, 'category': 'Public'}]",1216950,1012 E 20th Avenue,Townhouse,https://www.rew.ca/properties/R2220844/1012-e-20th-avenue-vancouver-bc,,119,3,Freehold Strata,2,
