address,age,amenities,area,bath,bed,features,gross_taxes_2017,latlng,link,listing_id,price,primary_broker,property_type,school_info,sqft,strata_maintenance_fees,strata_type,sub_area
204-2234 Prince Albert Street,41.0,"Elevator, Shared Laundry",Vancouver East,1,1,"Refrigerator, Stove",914.0,,https://www.rew.ca/properties/R2230676/204-2234-prince-albert-street-vancouver-bc,R2230676,479900,RE/MAX Select Realty,Apt/Condo,"[{'distance': '0.5 km', 'address': '2300 Guelph St, Vancouver', 'grades': 'Pre-K, K - 7', 'name': 'Mount Pleasant School', 'latitude': 49.2640399, 'longitude': -123.0940422, 'category': 'Public'}, {'distance': '2.6 km', 'address': '2600 Broadway E, Vancouver', 'grades': '8 - 12', 'name': 'Vancouver Technical Secondary School', 'latitude': 49.2614045, 'longitude': -123.0516839, 'category': 'Public'}, {'distance': '0.7 km', 'address': '428 Great Northern Way, Vancouver', 'grades': 'K - 7', 'name': 'St Francis Xavier School', 'latitude': 49.267931, 'longitude': -123.0947323, 'category': 'Independent'}, {'distance': '1.2 km', 'address': '115 11th Ave E, Vancouver', 'grades': '8 - 12', 'name': 'St Patrick Regional Secondary School', 'latitude': 49.2611369, 'longitude': -123.1028471, 'category': 'Independent'}, {'distance': '1.3 km', 'address': '2850 Quebec St, Vancouver', 'grades': 'K - 7', 'name': ""St Patrick's Elementary School"", 'latitude': 49.2597724, 'longitude': -123.1029196, 'category': 'Independent'}, {'distance': '1.5 km', 'address': '1850 3rd Ave E, Vancouver', 'grades': 'K - 5', 'name': 'Queen Victoria Annex', 'latitude': 49.2674386, 'longitude': -123.066805, 'category': 'Public'}, {'distance': '1.5 km', 'address': '3261 Fleming St, Vancouver', 'grades': 'K - 7', 'name': ""St Joseph's School"", 'latitude': 49.2559144, 'longitude': -123.071647, 'category': 'Independent'}, {'distance': '1.5 km', 'address': '3000 Commercial Dr, Vancouver', 'grades': 'K - 12', 'name': 'Stratford Hall School', 'latitude': 49.2574791, 'longitude': -123.0694838, 'category': 'Independent'}, {'distance': '1.6 km', 'address': '3525 Dumphries St, Vancouver', 'grades': 'K - 7', 'name': 'Tyee Elementary School', 'latitude': 49.2534128, 'longitude': -123.0740133, 'category': 'Public'}, {'distance': '1.9 km', 'address': '395 Broadway W, Vancouver', 'grades': '10 - 12', 'name': ""St John's International School"", 'latitude': 49.2633508, 'longitude': -123.1125357, 'category': 'Independent'}]",630,312.0,Freehold Strata,Mount Pleasant East
1827 Pandora Street,108.0,,Vancouver East,2,4,"Refrigerator, Storage Shed, Stove",3991.0,"(49.2830253, -123.0637578)",https://www.rew.ca/properties/R2231248/1827-pandora-street-vancouver-bc,R2231248,1098800,Sutton Group West Coast Realty,House,"[{'distance': '0.3 km', 'address': '1950 Hastings St E, Vancouver', 'grades': 'Pre-K, K - 7', 'name': 'Sir William Macdonald School', 'latitude': 49.2811281, 'longitude': -123.0647357, 'category': 'Public'}, {'distance': '0.7 km', 'address': '870 Victoria Dr, Vancouver', 'grades': 'K - 7', 'name': 'St Francis of Assisi School', 'latitude': 49.2767807, 'longitude': -123.0653002, 'category': 'Independent'}, {'distance': '0.9 km', 'address': '2450 Cambridge St, Vancouver', 'grades': 'Pre-K, K - 4', 'name': 'Tillicum School', 'latitude': 49.28625, 'longitude': -123.0554243, 'category': 'Public'}, {'distance': '1.3 km', 'address': '575 Slocan St, Vancouver', 'grades': 'K - 7', 'name': 'Our Lady of Sorrows School', 'latitude': 49.2793197, 'longitude': -123.0498604, 'category': 'Independent'}, {'distance': '1.5 km', 'address': '1025 Slocan St, Vancouver', 'grades': 'K - 4', 'name': 'Garibaldi Annex', 'latitude': 49.2753899, 'longitude': -123.0500498, 'category': 'Public'}, {'distance': '1.7 km', 'address': '15 Renfrew St N, Vancouver', 'grades': 'K - 12', 'name': 'West Coast Christian School', 'latitude': 49.2849954, 'longitude': -123.0445218, 'category': 'Independent'}, {'distance': '1.8 km', 'address': '1850 3rd Ave E, Vancouver', 'grades': 'K - 5', 'name': 'Queen Victoria Annex', 'latitude': 49.2674386, 'longitude': -123.066805, 'category': 'Public'}, {'distance': '1.8 km', 'address': '2880 Venables St, Vancouver', 'grades': '8 - 12', 'name': 'Notre Dame Regional Secondary School', 'latitude': 49.2766213, 'longitude': -123.0451031, 'category': 'Independent'}, {'distance': '2.6 km', 'address': '428 Great Northern Way, Vancouver', 'grades': 'K - 7', 'name': 'St Francis Xavier School', 'latitude': 49.267931, 'longitude': -123.0947323, 'category': 'Independent'}, {'distance': '2.9 km', 'address': '3000 Commercial Dr, Vancouver', 'grades': 'K - 12', 'name': 'Stratford Hall School', 'latitude': 49.2574791, 'longitude': -123.0694838, 'category': 'Independent'}]",1904,,Freehold NonStrata,Hastings
2-2888 E 2nd Avenue,5.0,"Elevator, In Suite Laundry",Vancouver East,2,2,ClthWsh/Dryr/Frdg/Stve/DW,1438.0,,https://www.rew.ca/properties/R2230613/2-2888-e-2nd-avenue-vancouver-bc,R2230613,699000,RE/MAX Crest Realty,Apt/Condo,"[{'distance': '0.4 km', 'address': '2684 2nd Ave E, Vancouver', 'grades': 'Pre-K, K - 7', 'name': 'Chief Maquinna School', 'latitude': 49.268031, 'longitude': -123.0507999, 'category': 'Public'}, {'distance': '0.9 km', 'address': '2600 Broadway E, Vancouver', 'grades': '8 - 12', 'name': 'Vancouver Technical Secondary School', 'latitude': 49.2614045, 'longitude': -123.0516839, 'category': 'Public'}, {'distance': '0.9 km', 'address': '1025 Slocan St, Vancouver', 'grades': 'K - 4', 'name': 'Garibaldi Annex', 'latitude': 49.2753899, 'longitude': -123.0500498, 'category': 'Public'}, {'distance': '0.9 km', 'address': '2880 Venables St, Vancouver', 'grades': '8 - 12', 'name': 'Notre Dame Regional Secondary School', 'latitude': 49.2766213, 'longitude': -123.0451031, 'category': 'Independent'}, {'distance': '1.2 km', 'address': '202-2830 Grandview Hwy, Vancouver', 'grades': '2 - 12', 'name': 'Avante School', 'latitude': 49.2578878, 'longitude': -123.0463594, 'category': 'Independent'}, {'distance': '1.3 km', 'address': '575 Slocan St, Vancouver', 'grades': 'K - 7', 'name': 'Our Lady of Sorrows School', 'latitude': 49.2793197, 'longitude': -123.0498604, 'category': 'Independent'}, {'distance': '1.3 km', 'address': '3075 Slocan St, Vancouver', 'grades': 'K - 7', 'name': 'Westside Montessori Academy', 'latitude': 49.257032, 'longitude': -123.05013, 'category': 'Independent'}, {'distance': '1.3 km', 'address': '2953 15th Ave E, Vancouver', 'grades': 'K - 7', 'name': ""St Jude's School"", 'latitude': 49.2565458, 'longitude': -123.0426267, 'category': 'Independent'}, {'distance': '1.6 km', 'address': '1850 3rd Ave E, Vancouver', 'grades': 'K - 5', 'name': 'Queen Victoria Annex', 'latitude': 49.2674386, 'longitude': -123.066805, 'category': 'Public'}, {'distance': '1.8 km', 'address': '870 Victoria Dr, Vancouver', 'grades': 'K - 7', 'name': 'St Francis of Assisi School', 'latitude': 49.2767807, 'longitude': -123.0653002, 'category': 'Independent'}]",841,262.0,Freehold Strata,Renfrew
2526 SE Marine Drive,7.0,,Vancouver East,6,6,"Air Conditioning, ClthWsh/Dryr/Frdg/Stve/DW, Compactor - Garbage, Drapes/Window Coverings, Microwave, Security System",5016.0,"(49.2109926, -123.0755534)",https://www.rew.ca/properties/R2230712/2526-se-marine-drive-vancouver-bc,R2230712,1988800,RE/MAX Crest Realty,House,"[{'distance': '0.8 km', 'address': '2421 Scarboro Ave, Vancouver', 'grades': 'K - 7', 'name': 'David Oppenheimer Elementary School', 'latitude': 49.213644, 'longitude': -123.0579581, 'category': 'Public'}, {'distance': '1.9 km', 'address': '1755 55th Ave E, Vancouver', 'grades': '8 - 12', 'name': 'David Thompson Secondary School', 'latitude': 49.2211722, 'longitude': -123.0705698, 'category': 'Public'}, {'distance': '1.5 km', 'address': '7051 Killarney St, Vancouver', 'grades': 'Pre-K, K - 6', 'name': 'École Anne Hebert Elementary', 'latitude': 49.2189188, 'longitude': -123.0461977, 'category': 'Public'}, {'distance': '1.6 km', 'address': '7028 Victoria Dr, Vancouver', 'grades': 'K - 3', 'name': 'Qawsain Knowledge House', 'latitude': 49.219923, 'longitude': -123.0656329, 'category': 'Independent'}, {'distance': '2.3 km', 'address': '6344 Nanaimo St, Vancouver', 'grades': 'K - 7', 'name': 'Corpus Christi School', 'latitude': 49.227045, 'longitude': -123.0590751, 'category': 'Independent'}, {'distance': '3.1 km', 'address': '5621 Killarney St, Vancouver', 'grades': '7 - 12', 'name': 'Vancouver Formosa Academy', 'latitude': 49.2337931, 'longitude': -123.0463604, 'category': 'Independent'}, {'distance': '3.1 km', 'address': '190-13151 Vanier Pl, Richmond', 'grades': '9', 'name': 'Glen Eden School', 'latitude': 49.1831336, 'longitude': -123.0788974, 'category': 'Independent'}, {'distance': '3.5 km', 'address': '5987 Prince Albert St, Vancouver', 'grades': 'K - 7', 'name': ""L'Ecole Bilingue Elementary"", 'latitude': 49.2297856, 'longitude': -123.0878759, 'category': 'Public'}, {'distance': '3.7 km', 'address': '3417 Euclid Ave, Vancouver', 'grades': 'Pre-K, K - 3', 'name': 'Collingwood Neighbourhood School', 'latitude': 49.2361809, 'longitude': -123.0325329, 'category': 'Public'}, {'distance': '3.7 km', 'address': '450 47th Ave E, Vancouver', 'grades': 'K - 7', 'name': ""St Andrew's School"", 'latitude': 49.2272136, 'longitude': -123.0958559, 'category': 'Independent'}]",3344,0.0,Freehold NonStrata,Fraserview East
3586 Trinity Street,82.0,,Vancouver East,1,1,,4217.0,"(49.2896967, -123.0256865)",https://www.rew.ca/properties/R2195938/3586-trinity-street-vancouver-bc,R2195938,1575000,Multiple Realty Ltd.,House,"[{'distance': '0.8 km', 'address': '250S Skeena St, Vancouver', 'grades': 'K - 7', 'name': 'Sir John Franklin Community School', 'latitude': 49.2825439, 'longitude': -123.0270231, 'category': 'Public'}, {'distance': '2.8 km', 'address': '727 Templeton Dr, Vancouver', 'grades': '8 - 12', 'name': 'Templeton Secondary School', 'latitude': 49.2773653, 'longitude': -123.0598422, 'category': 'Public'}, {'distance': '0.8 km', 'address': '3894 Triumph St, Burnaby', 'grades': 'K - 7', 'name': ""St Helen's School"", 'latitude': 49.2838246, 'longitude': -123.0189077, 'category': 'Independent'}, {'distance': '1.4 km', 'address': '15 Renfrew St N, Vancouver', 'grades': 'K - 12', 'name': 'West Coast Christian School', 'latitude': 49.2849954, 'longitude': -123.0445218, 'category': 'Independent'}, {'distance': '2.0 km', 'address': '2880 Venables St, Vancouver', 'grades': '8 - 12', 'name': 'Notre Dame Regional Secondary School', 'latitude': 49.2766213, 'longitude': -123.0451031, 'category': 'Independent'}, {'distance': '2.0 km', 'address': '575 Slocan St, Vancouver', 'grades': 'K - 7', 'name': 'Our Lady of Sorrows School', 'latitude': 49.2793197, 'longitude': -123.0498604, 'category': 'Independent'}, {'distance': '2.1 km', 'address': '2450 Cambridge St, Vancouver', 'grades': 'Pre-K, K - 4', 'name': 'Tillicum School', 'latitude': 49.28625, 'longitude': -123.0554243, 'category': 'Public'}, {'distance': '2.3 km', 'address': '420 Seymour River Pl, North Vancouver', 'grades': 'K - 12', 'name': 'Kenneth Gordon School', 'latitude': 49.3091584, 'longitude': -123.0168595, 'category': 'Independent'}, {'distance': '2.3 km', 'address': '1025 Slocan St, Vancouver', 'grades': 'K - 4', 'name': 'Garibaldi Annex', 'latitude': 49.2753899, 'longitude': -123.0500498, 'category': 'Public'}, {'distance': '2.8 km', 'address': '1325 Keith Rd E, North Vancouver', 'grades': 'K', 'name': 'North Star Montessori Elementary School', 'latitude': 49.3132826, 'longitude': -123.0381669, 'category': 'Independent'}]",1210,,Freehold NonStrata,Hastings East
3536 William Street,91.0,,Vancouver East,2,4,,4313.0,"(49.2739784, -123.0734073)",https://www.rew.ca/properties/R2218168/3536-william-street-vancouver-bc,R2218168,1249000,Coldwell Banker Prestige Rlty,House,,1940,,Freehold NonStrata,Hastings East
2735 Oxford Street,55.0,Storage,Vancouver East,2,6,"Clothes Washer/Dryer, ClthWsh/Dryr/Frdg/Stve/DW, Drapes/Window Coverings, Security System, Smoke Alarm, Windows - Thermo",5856.0,"(49.2944403, -122.7631939)",https://www.rew.ca/properties/R2187075/2735-oxford-street-vancouver-bc,R2187075,2688000,Sutton Group West Coast Realty,House,"[{'distance': '0.5 km', 'address': '2625 Franklin St, Vancouver', 'grades': 'K - 7', 'name': 'Hastings Community Elementary School', 'latitude': 49.2822084, 'longitude': -123.0514144, 'category': 'Public'}, {'distance': '1.3 km', 'address': '727 Templeton Dr, Vancouver', 'grades': '8 - 12', 'name': 'Templeton Secondary School', 'latitude': 49.2773653, 'longitude': -123.0598422, 'category': 'Public'}, {'distance': '0.3 km', 'address': '15 Renfrew St N, Vancouver', 'grades': 'K - 12', 'name': 'West Coast Christian School', 'latitude': 49.2849954, 'longitude': -123.0445218, 'category': 'Independent'}, {'distance': '0.5 km', 'address': '2450 Cambridge St, Vancouver', 'grades': 'Pre-K, K - 4', 'name': 'Tillicum School', 'latitude': 49.28625, 'longitude': -123.0554243, 'category': 'Public'}, {'distance': '0.7 km', 'address': '575 Slocan St, Vancouver', 'grades': 'K - 7', 'name': 'Our Lady of Sorrows School', 'latitude': 49.2793197, 'longitude': -123.0498604, 'category': 'Independent'}, {'distance': '1.1 km', 'address': '2880 Venables St, Vancouver', 'grades': '8 - 12', 'name': 'Notre Dame Regional Secondary School', 'latitude': 49.2766213, 'longitude': -123.0451031, 'category': 'Independent'}, {'distance': '1.2 km', 'address': '1025 Slocan St, Vancouver', 'grades': 'K - 4', 'name': 'Garibaldi Annex', 'latitude': 49.2753899, 'longitude': -123.0500498, 'category': 'Public'}, {'distance': '1.6 km', 'address': '870 Victoria Dr, Vancouver', 'grades': 'K - 7', 'name': 'St Francis of Assisi School', 'latitude': 49.2767807, 'longitude': -123.0653002, 'category': 'Independent'}, {'distance': '2.2 km', 'address': '3894 Triumph St, Burnaby', 'grades': 'K - 7', 'name': ""St Helen's School"", 'latitude': 49.2838246, 'longitude': -123.0189077, 'category': 'Independent'}, {'distance': '2.4 km', 'address': '1850 3rd Ave E, Vancouver', 'grades': 'K - 5', 'name': 'Queen Victoria Annex', 'latitude': 49.2674386, 'longitude': -123.066805, 'category': 'Public'}]",2336,,Freehold NonStrata,Hastings East
2560 Dundas Street,93.0,Recreation Center,Vancouver East,2,3,,4504.0,"(49.2848107, -123.0597104)",https://www.rew.ca/properties/R2194211/2560-dundas-street-vancouver-bc,R2194211,1499000,Sutton Centre Realty,House,"[{'distance': '0.3 km', 'address': '2625 Franklin St, Vancouver', 'grades': 'K - 7', 'name': 'Hastings Community Elementary School', 'latitude': 49.2822084, 'longitude': -123.0514144, 'category': 'Public'}, {'distance': '0.9 km', 'address': '727 Templeton Dr, Vancouver', 'grades': '8 - 12', 'name': 'Templeton Secondary School', 'latitude': 49.2773653, 'longitude': -123.0598422, 'category': 'Public'}, {'distance': '0.2 km', 'address': '2450 Cambridge St, Vancouver', 'grades': 'Pre-K, K - 4', 'name': 'Tillicum School', 'latitude': 49.28625, 'longitude': -123.0554243, 'category': 'Public'}, {'distance': '0.6 km', 'address': '15 Renfrew St N, Vancouver', 'grades': 'K - 12', 'name': 'West Coast Christian School', 'latitude': 49.2849954, 'longitude': -123.0445218, 'category': 'Independent'}, {'distance': '0.6 km', 'address': '575 Slocan St, Vancouver', 'grades': 'K - 7', 'name': 'Our Lady of Sorrows School', 'latitude': 49.2793197, 'longitude': -123.0498604, 'category': 'Independent'}, {'distance': '1.1 km', 'address': '1025 Slocan St, Vancouver', 'grades': 'K - 4', 'name': 'Garibaldi Annex', 'latitude': 49.2753899, 'longitude': -123.0500498, 'category': 'Public'}, {'distance': '1.1 km', 'address': '2880 Venables St, Vancouver', 'grades': '8 - 12', 'name': 'Notre Dame Regional Secondary School', 'latitude': 49.2766213, 'longitude': -123.0451031, 'category': 'Independent'}, {'distance': '1.2 km', 'address': '870 Victoria Dr, Vancouver', 'grades': 'K - 7', 'name': 'St Francis of Assisi School', 'latitude': 49.2767807, 'longitude': -123.0653002, 'category': 'Independent'}, {'distance': '2.2 km', 'address': '1850 3rd Ave E, Vancouver', 'grades': 'K - 5', 'name': 'Queen Victoria Annex', 'latitude': 49.2674386, 'longitude': -123.066805, 'category': 'Public'}, {'distance': '2.5 km', 'address': '3894 Triumph St, Burnaby', 'grades': 'K - 7', 'name': ""St Helen's School"", 'latitude': 49.2838246, 'longitude': -123.0189077, 'category': 'Independent'}]",2107,,Freehold NonStrata,Hastings East
2867 Cambridge Street,96.0,,Vancouver East,1,3,,,"(49.2863315, -122.9869314)",https://www.rew.ca/properties/R2213998/2867-cambridge-street-vancouver-bc,R2213998,1399000,RE/MAX Central,House,"[{'distance': '0.7 km', 'address': '2625 Franklin St, Vancouver', 'grades': 'K - 7', 'name': 'Hastings Community Elementary School', 'latitude': 49.2822084, 'longitude': -123.0514144, 'category': 'Public'}, {'distance': '1.5 km', 'address': '727 Templeton Dr, Vancouver', 'grades': '8 - 12', 'name': 'Templeton Secondary School', 'latitude': 49.2773653, 'longitude': -123.0598422, 'category': 'Public'}, {'distance': '0.2 km', 'address': '15 Renfrew St N, Vancouver', 'grades': 'K - 12', 'name': 'West Coast Christian School', 'latitude': 49.2849954, 'longitude': -123.0445218, 'category': 'Independent'}, {'distance': '0.8 km', 'address': '2450 Cambridge St, Vancouver', 'grades': 'Pre-K, K - 4', 'name': 'Tillicum School', 'latitude': 49.28625, 'longitude': -123.0554243, 'category': 'Public'}, {'distance': '0.9 km', 'address': '575 Slocan St, Vancouver', 'grades': 'K - 7', 'name': 'Our Lady of Sorrows School', 'latitude': 49.2793197, 'longitude': -123.0498604, 'category': 'Independent'}, {'distance': '1.1 km', 'address': '2880 Venables St, Vancouver', 'grades': '8 - 12', 'name': 'Notre Dame Regional Secondary School', 'latitude': 49.2766213, 'longitude': -123.0451031, 'category': 'Independent'}, {'distance': '1.3 km', 'address': '1025 Slocan St, Vancouver', 'grades': 'K - 4', 'name': 'Garibaldi Annex', 'latitude': 49.2753899, 'longitude': -123.0500498, 'category': 'Public'}, {'distance': '1.9 km', 'address': '870 Victoria Dr, Vancouver', 'grades': 'K - 7', 'name': 'St Francis of Assisi School', 'latitude': 49.2767807, 'longitude': -123.0653002, 'category': 'Independent'}, {'distance': '1.9 km', 'address': '3894 Triumph St, Burnaby', 'grades': 'K - 7', 'name': ""St Helen's School"", 'latitude': 49.2838246, 'longitude': -123.0189077, 'category': 'Independent'}, {'distance': '2.7 km', 'address': '1850 3rd Ave E, Vancouver', 'grades': 'K - 5', 'name': 'Queen Victoria Annex', 'latitude': 49.2674386, 'longitude': -123.066805, 'category': 'Public'}]",1822,,Freehold NonStrata,Hastings East
1012 E 20th Avenue,1.0,,Vancouver East,3,2,,2103.0,"(49.2525517, -123.0729676)",https://www.rew.ca/properties/R2220844/1012-e-20th-avenue-vancouver-bc,R2220844,1216950,RE/MAX City Realty,Townhouse,"[{'distance': '0.3 km', 'address': '3877 Glen Dr, Vancouver', 'grades': 'K - 3', 'name': 'Charles Dickens Annex', 'latitude': 49.25021, 'longitude': -123.0828519, 'category': 'Public'}, {'distance': '0.3 km', 'address': '1010 East 17th Ave, Vancouver', 'grades': 'K - 7', 'name': 'Charles Dickens Elementary School', 'latitude': 49.255005, 'longitude': -123.08331, 'category': 'Public'}, {'distance': '0.9 km', 'address': '419 24th Ave E, Vancouver', 'grades': '8 - 12', 'name': 'Sir Charles Tupper Secondary School', 'latitude': 49.2492786, 'longitude': -123.0942099, 'category': 'Public'}, {'distance': '0.7 km', 'address': '3525 Dumphries St, Vancouver', 'grades': 'K - 7', 'name': 'Tyee Elementary School', 'latitude': 49.2534128, 'longitude': -123.0740133, 'category': 'Public'}, {'distance': '0.9 km', 'address': '3261 Fleming St, Vancouver', 'grades': 'K - 7', 'name': ""St Joseph's School"", 'latitude': 49.2559144, 'longitude': -123.071647, 'category': 'Independent'}, {'distance': '1.1 km', 'address': '3000 Commercial Dr, Vancouver', 'grades': 'K - 12', 'name': 'Stratford Hall School', 'latitude': 49.2574791, 'longitude': -123.0694838, 'category': 'Independent'}, {'distance': '1.6 km', 'address': '2850 Quebec St, Vancouver', 'grades': 'K - 7', 'name': ""St Patrick's Elementary School"", 'latitude': 49.2597724, 'longitude': -123.1029196, 'category': 'Independent'}, {'distance': '1.7 km', 'address': '115 11th Ave E, Vancouver', 'grades': '8 - 12', 'name': 'St Patrick Regional Secondary School', 'latitude': 49.2611369, 'longitude': -123.1028471, 'category': 'Independent'}, {'distance': '1.9 km', 'address': '428 Great Northern Way, Vancouver', 'grades': 'K - 7', 'name': 'St Francis Xavier School', 'latitude': 49.267931, 'longitude': -123.0947323, 'category': 'Independent'}, {'distance': '2.0 km', 'address': '1850 3rd Ave E, Vancouver', 'grades': 'K - 5', 'name': 'Queen Victoria Annex', 'latitude': 49.2674386, 'longitude': -123.066805, 'category': 'Public'}]",1321,119.0,Freehold Strata,Fraser East
